数据库	表数量	数据(MB)	索引(MB)
d_channel	7	0.11	0.06
d_guild	26	0.36	0.44
d_taiwan	117	150.32	148.40
d_taiwan_secu	8	0.00	0.01
d_technical_report	42	4.84	0.25
gm_gui	6	8.78	0.00
qq_bot	9	0.14	0.00
taiwan_billing	73	1.14	0.39
taiwan_cain	113	4.52	0.72
taiwan_cain_2nd	50	0.94	0.63
taiwan_cain_auction_cera	17	0.27	0.22
taiwan_cain_auction_gold	17	0.30	0.22
taiwan_cain_log	101	20.81	19.53
taiwan_cain_web	17	31.37	1.79
taiwan_game_event	51	0.80	0.08
taiwan_login	51	0.86	0.22
taiwan_login_play	1	0.02	0.00
taiwan_main_web	364	0.00	0.37
taiwan_mng_manager	21	0.08	0.05
taiwan_prod	35	2.05	2.64
taiwan_se_event	13	0.00	0.02
tw	115	146.44	142.56
